一|one
胎|womb, uterus
酵|fermentation
憤|aroused, resent, be indignant, anger
豚|pork, pig
遮|intercept, interrupt, obstruct
扉|front door, title page, front page
硫|sulphur
赦|pardon, forgiveness
窃|stealth, steal, secret, private, hushed
泡|bubbles, foam, suds, froth
又|or again, furthermore, on the other hand
慨|rue, be sad, sigh, lament
紡|spinning
恨|regret, bear a grudge, resentment, malice, hatred
肪|obese, fat
扶|aid, help, assist
戯|frolic, play, sport
忌|mourning, abhor, detestable, death anniversary
濁|voiced, uncleanness, wrong, nigori, impurity
奔|bustle, run
斗|Big Dipper, 10 sho (vol), sake dipper
迅|swift, fast
肖|resemblance
鉢|bowl, rice tub, pot, crown
朽|decay, rot, remain in seclusion
殻|husk, nut shell
享|receive, undergo, answer (phone), take, get, catch
藩|clan, enclosure
沙|sand
媒|mediator, go-between
鶏|chicken
禅|Zen, silent meditation
嘱|entrust, request, send a message
胴|trunk, torso, hull (ship), hub of wheel
迭|transfer, alternation
挿|insert, put in, graft, wear (sword)
嵐|storm, tempest
椎|oak, mallet
陪|obeisance, follow, accompany, attend on
剖|divide
譜|musical score, music, note, staff, table, genealogy
悠|permanence, distant, long time, leisure
淑|graceful, gentle, pure
帆|sail
暁|daybreak, dawn, in the event
傑|greatness, excellence
奴|guy, slave, manservant, fellow
錠|lock, fetters, shackles
拳|fist
遷|transition, move, change
拙|bungling, clumsy, unskillful
侍|waiter, samurai, wait upon, serve
峠|mountain peak, mountain pass, climax, crest, (kokuji)
篤|fervent, kind, cordial, serious, deliberate
渇|thirst, dry up, parch
叔|uncle, youth
雌|feminine, female
堪|withstand, endure, support, resist
叙|confer, relate, narrate, describe
酢|vinegar, sour, acid, tart
吟|versify, singing, recital
逓|relay, in turn, sending
甚|tremendously, very, great, exceedingly
崇|adore, respect, revere, worship
漆|lacquer, varnish
岬|headland, cape, spit, promontory
癖|mannerism, habit, vice, trait, fault, kink
愉|pleasure, happy, rejoice
礁|reef, sunken rock
屯|barracks, police station, camp
姻|matrimony, marry
擬|mimic, aim (a gun) at, nominate, imitate
塀|fence, also N1103, wall
唇|lips
睦|intimate, friendly, harmonious
閑|leisure
幽|seclude, confine to a room
曹|cadet, friend
詠|recitation, poem, song, composing
卑|lowly, base, vile, vulgar
侮|scorn, despise, make light of, contempt
鋳|casting, mint
抹|rub, paint, erase
尉|military officer, jailer, old man, rank
隷|slave, servant, prisoner, criminal, follower
禍|calamity, misfortune, evil, curse
酪|dairy products, whey, broth, fruit juice
茎|stalk, stem
帥|commander, leading troops, governor
逝|departed, die
匿|hide, shelter, shield
襟|collar, neck, lapel
蛍|lightning-bug, firefly
寡|widow, minority, few
痢|diarrhea
庸|commonplace, ordinary, employment
坑|pit, hole
藍|indigo
賊|burglar, rebel, traitor, robber
搾|squeeze
畔|paddy-ridge, levee
唄|songs with samisen
孔|cavity, hole, slit, very, great, exceedingly
呂|spine, backbone
拷|torture, beat
嬢|lass, girl, Miss, daughter
渓|mountain stream, valley
翁|venerable old man
廉|bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful
謹|discreet, reverently, humbly
瞳|pupil
湧|boil, ferment, seethe, uproar, breed
窯|kiln, oven, furnace
褒|praise, extol
醜|ugly, unclean, shame, bad looking
升|measuring box, 1.8 liter
殉|martyrdom, follow by resigning
煩|anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome
劾|censure, criminal investigation
堕|degenerate, descend to, lapse into
租|tariff, crop tax, borrowing
桟|scaffold, cleat, frame, jetty, bolt (door)
婿|bridegroom, son-in-law
慕|pining, yearn for, love dearly, adore
罷|quit, stop, leave, withdraw, go
矯|rectify, straighten, correct, reform, cure, control, pretend, falsify
某|so-and-so, one, a certain, that person
囚|captured, criminal, arrest, catch
虹|rainbow
泌|ooze, flow, soak in, penetrate, secrete
漸|steadily, gradually advancing, finally, barely
蚊|mosquito
厄|unlucky, misfortune, bad luck, disaster
藻|seaweed, duckweed
嫡|legitimate wife, direct descent (non-bastard)
嚇|menacing, dignity, majesty, threaten
凸|convex, beetle brow, uneven
韻|rhyme, elegance, tone
霜|frost
硝|nitrate, saltpeter
勅|imperial order
棺|coffin, casket
儒|Confucian
愁|distress, grieve, lament, be anxious
楼|watchtower, lookout, high building
眉|eyebrow
薪|fuel, firewood, kindling
褐|brown, woollen kimono
賜|grant, gift, boon, results
繕|darning, repair, mend, trim, tidy up, adjust
栓|plug, bolt, cork, bung, stopper
凹|concave, hollow, sunken
艶|glossy, luster, glaze, polish, charm, colorful, captivating
錬|tempering, refine, drill, train, polish
衷|inmost, heart, mind, inside
逐|pursue, drive away, chase, accomplish, attain, commit
斥|reject, retreat, recede, withdraw, repel, repulse
詔|imperial edict
憧|yearnafter, long for, aspire to, admire, adore
宵|wee hours, evening, early night
妄|delusion, unnecessarily, without authority, reckless
酌|bartending, serving sake, the host, draw (water), ladle, scoop, pump
頒|partition, understand
肢|limb, arms & legs
謄|mimeograph, copy
嗣|heir, succeed
畝|furrow, 30 tsubo, ridge, rib
抄|extract, selection, summary, copy, spread thin
爽|refreshing, bracing, resonant, sweet, clear
惰|lazy, laziness
蛮|barbarian
旺|flourishing, successful, beautiful, vigorous
壱|I (one)
瑠|lapis lazuli
侯|marquis, lord, daimyo
弧|arc, arch, bow
附|affixed, attach, refer to, append
但|however, but
芋|potato
婆|old woman, grandma, wet nurse
倣|emulate, imitate
倹|frugal, economy, thrifty
繭|cocoon
謁|audience, audience (with king)
箇|counters for things
且|moreover, also, furthermore
伎|deed, skill
斤|axe, 1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)
虞|fear, uneasiness, anxiety, concern, expectation, consideration
墾|ground-breaking, open up farmland
采|dice, form, appearance, take, coloring
璽|emperor's seal
爵|baron, peerage, court rank
遵|abide by, follow, obey, learn
塑|model, molding
汰|luxury, select
旦|nightbreak, dawn, morning
朕|majestic plural, imperial we
痘|pox, smallpox
弐|II, two, second
賦|levy, ode, prose, poem, tribute, installment
丙|third class, 3rd, 3rd calendar sign
耗|decrease
冶|peace, government, cure, heal, rule, subdue, patch
濫|excessive, overflow, spread out
吏|officer, an official
璃|glassy, lapis lazuli
瞭|clear
韓|Korea
岡|mount, hill, knoll
阪|heights, slope
狙|aim at, sight, shadow, stalk
埼|cape, spit, promontory
茨|briar, thorn
曽|once, before, formerly, ever, never, ex-
栃|horse chestnut, (kokuji)
阜|hill, mound (left-side B radical)
葛|arrowroot, kudzu
畿|capital, suburbs of capital
尻|buttocks, hips, butt, rear
柿|persimmon, shingle
腎|kidney
釜|kettle, cauldron, iron pot
脇|armpit, the other way, another place, flank, supporting role
鍋|pot, pan, kettle
瓦|tile, gram
挫|crush, break, sprain, discourage
誰|who, someone, somebody
俺|I, myself
痕|mark, foot print
袖|sleeve, wing (building), extension, give cold shoulder
妖|attractive, bewitching, calamity
闇|get dark, gloom, disorder
捉|catch, capture
賭|gamble, wager, bet
汎|pan-
頃|time, about, toward
謎|riddle, puzzle, enigma, hint, tip
爪|claw, nail, talon
鍵|key
臼|mortar
牙|tusk, fang
枕|pillow
丼|bowl, bowl of food
惧|to fear; to be afraid of
膳|small low table, tray
呪|spell, curse, charm, malediction
斬|beheading, kill, murder
怨|grudge, show resentment, be jealous
串|shish kebab, spit, skewer
腫|tumor, swelling
餅|mochi rice cake
箸|chopsticks
斑|spot, blemish, speck, patches
摯|gift, seriousness
堆|piled high
芯|wick
蜜|honey, nectar, molasses
股|thigh, crotch, yarn, strand
匂|fragrant, stink, glow, insinuate, (kokuji)
玩|play, take pleasure in, trifle with, make sport of
蜂|bee, wasp, hornet
椅|chair
叱|scold, reprove
挨|push open
餌|food, bait, prey, tempting profit
脊|stature, height
凄|uncanny, weird, threatening, horrible
嫉|jealous, envy
膝|knee, lap
恣|selfish, arbitrary
麺|noodles, wheat flour
戴|be crowned with, live under (a ruler), receive
裾|cuff, hem, foot of mountain
冥|dark
麓|foot of a mountain
稽|think, consider, quarrel
蹴|kick
訃|obituary
剥|come off, peel, fade, discolor
蓋|cover, lid, flap
畏|fear, majestic, graciously, be apprehensive
喉|throat, voice
拭|wipe, mop, swab
頬|cheek
貼|stick, paste, apply
諦|abandon, give up
煎|broil, parch, roast, boil
緻|fine (i.e. not coarse)
哺|nurse, suckle
罵|abuse, insult
乞|beg, invite, ask
嗅|smell, sniff, scent
蔑|ignore, despise, neglect, ridicule
宛|address, just like, fortunately
萎|wither, droop, lame
咽|choked, smothered, stuffy
淫|lewdness, licentiousness
臆|timidity, heart, mind, fear, cowardly
苛|torment, scold, chastise
崖|cliff, bluff, precipice
骸|bone, body, corpse
顎|jaw, chin, gill
僅|a wee bit
巾|towel, hanging scroll, width
窟|cavern
詣|visit a temple
隙|crevice, fissure, discord, opportunity, leisure, also N5013
桁|beam, girder, spar, unit or column (accounting)
舷|gunwale
勾|be bent, slope, capture
梗|for the most part, close up
塞|close, shut, cover, block, obstruct
柵|stockade, fence, wier, entwine around
拶|be imminent
醒|awake, be disillusioned, sober up
戚|grieve
羨|envious, be jealous, covet
腺|gland
詮|discussion, methods called for, selection, result
遡|go upstream, retrace the past
痩|get thin
遜|humble, modest
唾|saliva, sputum
綻|be rent, ripped, unravel, run, begin to open, smile
酎|sake
捗|make progress
潰|crush, smash, break, dissipate
溺|drown, indulge
填|fill in
妬|jealous, envy
頓|suddenly, immediately, in a hurry
捻|twirl, twist, play with
氾|spread out, wide
肘|elbow, arm
蔽|cover, shade, mantle, capsize, be ruined
貌|form, appearance, countenance
勃|suddenness, rise
昧|dark, foolish
沃|fertility
侶|companion, follower
賂|bribe
弄|play with, tamper, trifle with
傲|be proud
刹|temple
喩|to compare; to liken; to speak figuratively; to illustrate; to use a simile
嘲|ridicule, insult
毀|break, destroy, censure, be chipped, be scratched, be broken, be ruined
彙|same kind
慄|fear
憬|yearn for, aspire to, admire
拉|Latin, kidnap, crush
曖|dark, not clear
楷|square character style, correctness
鬱|gloom, depression, melancholy
璧|sphere, ball
瘍|boil, carbuncle
箋|paper, label, letter, composition
籠|basket, devote onself, seclude oneself, cage, coop, implied
羞|feel ashamed
諧|harmony
貪|covet, indulge in
踪|remains, clue, footprint
辣|bitter
錮|to tie
丑|
丞|help
乃|from, possessive particle, whereupon, accordingly
之|of, this
乎|
乘|
也|to be (classical)
云|say
亘|
亙|range, reach, extend, cover
些|a little bit, sometimes
亞|
亥|
亦|
亨|undergo, answer (phone), take, get, catch
亮|clear, help
仔|offspring
伊|Italy, that one
伍|5, 5-man squad, file, line
伶|
伽|nursing, attending, entertainer
佃|cultivated rice field
佑|help, assist
佛|France
侃|strong, just, righteous, peace-loving
來|come, due, next, cause, become
侑|urge to eat
俄|sudden, abrupt, improvised
俐|
俠|
俣|crotch, thigh, groin, (kokuji)
俱|
倖|happiness, luck
倦|
倭|
偲|recollect, remember
傭|employ, hire
傳|
僞|
價|
儉|
儲|be profitable, yield profit
允|license, sincerity, permit
兎|rabbit, hare
兒|child, young of animals
兜|helmet, head piece
其|that
冨|enrich, wealthy, abundant
冴|be clear, serene, cold, skilful
凉|nice and cool
凌|endure, keep (rain)out, stave off, tide over, defy, slight, surpass
凛|cold
凜|
凧|kite, (kokuji)
凪|
凰|female phoenix bird
凱|victory song
函|box (archaic)
剩|
劉|axe, kill
劍|
劫|threat, long ages
勁|strong
勳|
勺|
勿|not, must not, do not, be not
匁|
匡|correct, save, assist
卜|divining, fortune telling
卯|sign of the hare, 5-7AM, 4th zodiac sign, rabbit, east
卷|
卽|
卿|you, lord, secretary, state minister
厨|kitchen
厩|barn, stable
叉|fork of road, crotch
叡|intelligence, imperial
叢|
只|only, free, in addition
叶|grant, answer
吞|
吻|
吾|I, my, our, one's own
哉|how, what, alas, "?" (question mark)
哨|scout, sentinel
哩|
啄|peck, pick up
喋|
喧|noisy, boisterous
喬|high, boasting
單|
喰|eat, drink, receive (a blow), (kokuji)
嘉|applaud, praise, esteem
嘗|once, before, formerly, ever, never, ex-, lick, lap up, burn up, taste, udergo, underrate, despise
嘩|noisy
噂|rumor, gossip, hearsay
噌|throat
嚴|
圃|
圈|
國|country
圓|yen, circle, round
團|association
圭|square jewel, corner, angle, edge
坐|sit
坦|level, wide
埜|
埴|clay
堯|high, far
堰|dam, prevent, stop up
堵|fence, railing, enclosure
堺|world
塙|projecting tableland or mountain
增|
壕|trench, dugout, air raid shelter
壘|
壞|
壬|
壯|
壽|longevity, congratulations
夷|barbarian, savage, Ainu
奄|cover
奎|star, god of literature
套|hackneyed
奧|
奬|
姥|old woman
姪|niece
娃|
娩|bear (children)
嬉|glad, pleased, rejoice
孃|
孜|
孟|chief, beginning
宋|dwell, Sung dynasty
宏|wide, large
宕|cave
宥|soothe, calm, pacify
寅|sign of the tiger, 3-5AM, 3rd zodiac sign
寓|temporary abode, keep, imply, suggest
寢|
實|truth, reality
寬|
寵|
將|
專|
尖|be pointed, sharp, taper, displeased, angry, edgy
尤|
尭|
屑|
峨|high mountain
峯|peak, summit
峻|high, steep
峽|
崚|
嵩|be aggravated, grow worse, grow bulky, swell
嵯|steep, craggy, rugged
嶋|island
嶺|peak, summit
巌|rock, crag, boulder
巖|rock, crag, boulder
巢|
已|stop, halt, previously, already, long ago
巳|sign of the snake, 9-11AM, 6th zodiac sign, serpent
巴|comma-design
巷|fork in road, scene, arena, theater
巽|southeast
帖|quire (of paper), bundle of seaweed, counter for screens, notebook
帶|
幌|canopy, awning, hood, curtain
幡|flag
庄|level
庇|protect, shield, defend, eaves, canopy, penthouse, visor
庚|7th, 7th calendar sign
庵|hermitage, retreat
廟|mausoleum, shrine, palace
廣|broad, wide, spacious
廳|
廻|round, game, revolve, go around, circumference
廿|twenty, 20
弘|vast, broad, wide
弛|slacken, relax
彈|
彌|
彗|comet
彦|lad, boy (ancient)
彪|
彬|refined, gentle
從|
徠|
徵|
德|
徽|good, beautiful, badge
忽|in a moment, instantly, all of a sudden, neglect, disregard
怜|wise
恆|
恕|excuse, tolerate, forgive
恢|wide, large, enlarge
恰|just as, as though, fortunately
悉|
悌|
惇|sincere, kind, considerate
惚|fall in love with, admire, grow senile
惟|consider, reflect, think
惠|blessing, grace, favor, kindness
惡|
惣|all
惹|attract, captivate
惺|
愼|
慧|wise
憐|pity, have mercy, sympathise, compassion
應|answer, yes, OK, reply, accept
懷|
戊|5th calendar sign
或|some, one, or, possibly, a certain
戟|
戰|
戲|
托|
拂|
拔|
拜|
按|
挺|counter for guns, inksticks, palanquins, rickshaws, bravely volunteer
挽|saw, turn (lathe), grind
捧|lift up, give, offer, consecrate, sacrifice, dedicate
捲|
捷|victory, fast
捺|press, print, affix a seal, stamp
掠|
掬|
揃|be complete, uniform, all present
揭|
搖|
搜|
摑|
摺|rub, fold, print (on cloth)
撒|scatter, sprinkle, give them the slip
撞|
撫|stroke, pat, smooth down
播|plant, sow
撰|composing, editing, compiling, selecting
擊|
擢|excel in, surpass, pull out, select
攝|
收|income
敍|
敦|industry, kindliness
斐|beautiful, patterned
斡|go around, rule, administer
斧|ax, hatchet
斯|this, thus, such, verbal pause
於|at, in, on, as for
旭|rising sun, morning sun
昂|
昊|sky, big
昌|prosperous, bright, clear
昏|dark, evening, dusk
昴|
晃|clear
晄|clear
晋|advance
晏|
晒|
晚|
晝|
晟|
晦|dark, disappear
晨|
智|wisdom, intellect, reason
暉|shine, light
暢|stretch
曆|
曉|
曙|dawn, daybreak
曝|bleach, refine, expose, air
曳|pull, tug, jerk, admit, install, quote, refer to
曾|formerly, once, before, ever, never, ex-
朋|companion, friend
朔|conjunction (astronomy), first day of month
李|plum
杏|apricot
杖|staff, cane
杜|woods, grove
杭|stake, post, picket
杵|wooden pestle
杷|kind of rake
枇|spoon
柊|holly
柏|oak
柑|citrus, orange
柘|wild mulberry
柚|citron
柴|brush, firewood
柾|straight grain, spindle tree, (kokuji)
栖|nest, rookery, hive, cobweb, den
栗|chestnut
栞|
桂|Japanese Judas-tree, cinnamon tree
桐|paulownia
桔|used in plant names
桧|Japanese cypress
桶|tub, bucket
梁|weir, fish trap, beam, girder
梓|catalpa tree
梛|
條|article, ray of light
梢|treetops, twig
梧|
梯|ladder, stairs, insatiable drinking
梶|sculling oar
棲|live, dwell
椀|wooden or lacquered bowl
椋|type of deciduous tree, grey starling
椛|
椰|coconut tree
椿|camellia
楊|willow
楓|maple
楕|ellipse
楚|whip, cane
楠|camphor tree
楢|oak
楯|
榊|sacred Shinto tree, (kokuji)
榎|lotus tree
榛|hazelnut, filbert
榮|flourish, prosperity, honour, glory, splendour
槇|twig, Chinese black pine
槌|hammer, mallet
槍|spear, lance, javelin
槙|twig, ornamental evergreen
槻|Zelkova tree
樂|music, comfort
樋|water pipe, gutter, downspout, conduit
樟|camphor
樣|
樫|evergreen oak, (kokuji)
樺|birch
樽|barrel, cask, keg
橘|mandarin orange
橙|
橫|
檀|cedar, sandlewood, spindle tree
檎|pear, apple
檜|Japanese cypress
檢|
櫂|
櫓|oar, tower
櫛|comb
櫻|cherry
欣|take pleasure in, rejoice
欽|respect, revere, long for
歎|
此|this, current, next, coming, last, past
步|
歷|
殆|almost, quite, really
毅|strong
每|
毘|help, assist
毬|burr, ball
氣|spirit, mind
汀|water's edge, shore, bank
汐|eventide, tide, salt water, opportunity
汝|you, thou
汲|draw (water), ladle, scoop, pump
沌|primeval chaos
沓|
沫|
洛|Kyoto, the capital
洲|continent, sandbar, island, country
洵|
洸|sparkling water
浩|wide expanse, abundance, vigorous
浬|
涉|
淀|pool, eddy
淋|lonely, deserted
淚|
淨|
淳|pure
淵|abyss, edge, deep pool, the depths
渚|strand, beach, shore
渥|kindness
渴|
湊|port, harbor
湘|name of Chinese river, the Sagami river
湛|fill, wear (a smile)
溜|collect, gather, be in arrears
溢|overflow, inundate, spill
溫|
滉|
滯|
漕|rowing, skull, paddle
漣|
漱|gargle, rinse mouth
澁|
澪|
濕|
濡|get wet, damp, make love
瀕|shore, brink, verge
瀧|waterfall, rapids, cascade
瀨|
灘|open sea
灸|moxa cautery, chastisement
灼|miraculous
烏|crow, raven
焚|burn, kindle, build a fire, boil, cook
焰|
煉|refine metals, kneading over fire
煌|
煤|
熙|bright, sunny, prosperous, merry
燈|nonstandard for J825
燎|
燒|
燕|swallow (bird)
燦|brilliant
燭|light, candlepower
燿|
爭|
爲|
爾|you, thou, second person
牒|
牟|pupil (eye), moo (cow sound)
牡|male
牽|pull, tug, jerk, admit, install, quote, refer to
犀|
狀|
狹|
狼|wolf
猪|boar
獅|lion
獸|
玖|beautiful black jewel, nine
玲|sound of jewels
珀|amber
珂|jewel
珈|ornamental hairpin
珊|
琉|lapis lazuli
琢|polish
琥|jewelled utensil
琳|
琵|glissando on strings, lute
琶|lute
瑚|
瑛|sparkle of jewelry, crystal
瑞|congratulations
瑳|
瑶|
瓜|melon
瓢|gourd
甥|nephew
甫|
畠|field, farm, garden, (kokuji)
畢|
疊|
疋|head, no. of animals
疏|
瘦|
皐|swamp, shore
皓|white, clear
盃|
盜|
盡|
眞|truth, reality, Buddhist sect
眸|
瞥|glance at
矩|
砥|whetstone, grindstone
砦|fort, stronghold, entrenchments
砧|
硯|
碎|
碓|
碗|porcelain bowl, tea cup
碧|blue, green
碩|large, great, eminent
磐|rock, crag, cliff, wall (in a mine)
磯|seashore, beach
祁|
祇|national or local god, peaceful, great
祐|help
祕|
祢|ancestral shrine
祷|pray
祿|
禄|fief, allowance, pension, grant, happiness
禎|happiness
禪|
禮|
禰|ancestral shrine
禱|
禽|bird, captive, capture
禾|2 branch tree
秤|balances, scales, steelyard
秦|Manchu dynasty, name given to naturalized gaijin
稀|rare, phenomenal, dilute (acid)
稔|harvest, ripen
稜|angle, edge, corner, power, majesty
稟|
稻|
穗|
穣|good crops, prosperity
穰|
穹|
穿|put on (to the feet), dig, pierce, drill
窄|narrow, fold, furl, shrug, pucker, shut, close
窪|depression, cave in, sink, become hollow
窺|lie in wait, spy on, reconnoiter
竣|end, finish
竪|length, height, warp
竺|
竿|pole, rod, scale beam, violin neck
笈|
笙|
笠|bamboo hat, one's influence
笹|bamboo grass
筈|notch of an arrow, ought, must, should be, expected
筑|an ancient musical instrument
箔|foil, gilt
箕|winnowing
篇|volume, chapter, book, editing, compilation
篠|also N3428, bamboo grass
簞|
簾|bamboo screen, rattan blind
籾|
粟|millet
粥|rice gruel
粹|
糊|paste, glue, sizing
紐|string, cord, braid, lace, tape, strap, ribbon
紗|gauze, gossamer
紘|large
紬|pongee (a knotted silk cloth)
絃|string, cord, samisen music
絆|bonds, fetters
絢|kimono design
綜|rule
綠|
綴|compose, spell, write, bind (books)
綸|thread, silk cloth
綺|figured cloth, beautiful
綾|design, figured cloth, twill
緋|scarlet, cardinal
緖|
緣|
縞|stripe
縣|
縱|
繡|
繫|
纂|
纏|wear, wrap, tie, follow around, collect
纖|
羚|
翔|soar, fly
翠|
耀|shine, sparkle, gleam, twinkle
而|rake
耶|question mark
耽|
聡|wise, fast learner
聽|
肇|beginning
肋|
肴|accompaniment for drinks
胡|barbarian, foreign
胤|
脩|dried meat
脹|
腔|body cavity
膏|
臟|
臥|bend down, bow, lie prostrate
與|participate in, give, award, impart, provide, cause
舜|type of morning glory, rose of Sharon, althea
舵|rudder, helm, wheel
芙|lotus, Mt Fuji
芥|mustard, rape, dust, trash, rubbish
芦|reed, rush
芭|banana
芹|parsley
苑|garden, farm, park
苔|moss, lichen
苺|strawberry
茄|eggplant
茅|miscanthus reed
茉|jasmine
茜|madder, red dye, Turkey red
茸|mushroom
荻|reed
莉|jasmine
莊|
莞|
莫|must not, do not, be not
菅|sedge
菖|iris
菩|kind of grass, sacred tree
菫|
菱|diamond, water chestnut
萄|grape vine, wild grape
萊|
萌|show symptoms of, sprout, bud, malt
萠|
萩|bush clover
萬|10000
萱|
葡|wild grape, Portugal
董|correct
葦|reed, bullrush
葵|hollyhock
葺|thatch, cover, shingle, tile
蒐|gather
蒔|sow (seeds)
蒙|ignorance, darkness, get, receive, be subjected to, sustain, Mongolia
蒲|bullrush, flag, cattail
蒼|blue, pale
蓉|lotus
蓑|
蓬|sagebrush, wormwood, mugwort
蓮|lotus
蔓|vine, tendril, influence, connections, good offices, spread, sprawl, thrive, rampant, powerful
蔣|
蔦|vine, ivy
蔭|shade, shadow, backing assistance
蕃|
蕉|banana
蕎|buckwheat
蕗|butterbur, bog rhubarb
蕨|bracken, fernbrake
蕪|turnip
蕾|bud (plants, mushrooms not yet opened)
薗|garden, yard, farm
薙|mow down (the enemy)
薩|Buddha
薰|
藁|
藏|hide, own, have, possess
藝|art, craft, performance, acting, trick, stunt
藥|
蘇|be resuscitated, revived
蘭|orchid, Holland
虛|
蝦|shrimp, prawn, lobster
蝶|butterfly
螺|a small, edible, helical fresh water mollusk
蟬|
蟹|crab
蠟|
衞|
衿|
袈|a coarse camlet
袴|men's formal divided skirt
裝|
裟|Buddhist surplice
裡|reverse, inside, palm, sole, rear, lining, wrong side
裳|skirt
襖|opaque sliding door
覽|
訊|request, question, investigate
訣|separation, part, secret
註|
詢|consult with
詫|deceive, delude, apologize
誼|
諄|
諏|consult
諒|fact, reality, understand, appreciate
諺|proverb
謂|reason, origin, history, oral tradition
謠|
讃|praise, title on a picture
讓|
豹|leopard, panther
貰|get, have, obtain
賑|flourish, be bustling, prosperity
賣|
賴|
赳|strong and brave
跨|
蹄|hoof
蹟|remains, traces, footprint
輔|help
輯|
輿|palanquin, bier
轉|
轟|
辰|sign of the dragon, 7-9AM, 5th zodiac sign
辻|crossing, crossroad, street corners, (kokuji)
辿|follow (rod), pursue
迂|roundabout way
迄|
迦|(used phonetically)
迪|edify, way, path
逗|stop
這|crawl, creep, grovel, trail (vines)
逞|
逢|meeting, tryst, date, rendezvous
遁|flee, escape, shirk, evade, set free
遙|far off, distant, long ago
遥|far off, distant, long ago
遼|distant
邑|village, rural community, right-side B rad
郁|cultural progress, perfume
郞|
鄭|an ancient Chinese province
酉|sign of the bird, west (sake rad)
醇|pure sake', purity, affection
醉|
醍|whey, good Buddhist teaching
醐|boiled butter
醬|
釀|
釉|glaze, enamel
釘|nail, tack, peg
釧|bracelet
銑|
鋒|dagger, sword's point, festival car, float
鋸|saw (cuts wood)
錄|
錆|tarnish
錐|
錘|
錫|copper, tin
鍊|
鍬|hoe with long blade at acute angle
鎧|put on armor, arm oneself
鎭|
鑄|
閃|
閏|
閤|small side gate
阿|Africa, flatter, fawn upon, corner, nook, recess
陀|steep
陷|
隈|corner, nook, recess
險|
隼|falcon
雀|sparrow
雁|wild goose
雛|chick, squab, duckling, doll
雜|
雫|drop, trickle, dripping
霞|be hazy, grow dim, blurred
靖|peaceful
靜|
鞄|suitcase, bag, briefcase
鞍|saddle
鞘|sheath, case, margin, difference, shells (of beans)
鞠|
鞭|whip, rod
頁|page, leaf
頌|
頗|prejudiced, exceedingly
顚|
顯|
颯|suddenly, smoothly
飜|
饗|banquet
馨|fragrant, balmy, favourable
馳|run, gallop, sail, drive (a wagon), win (fame), dispatch
馴|get used to, experienced, tamed
駈|run, gallop, advance
駕|vehicle, palanquin, litter, hitch up an animal
駿|a good horse, speed, a fast person
騷|
驍|
驗|
髮|
魁|charging ahead of others
魯|foolish, Russia
鮎|freshwater trout, smelt
鯉|carp
鯛|sea bream, red snapper
鰯|sardine, (kokuji)
鱒|salmon trout
鱗|
鳩|pigeon, dove
鳳|male mythical bird
鳶|
鴨|wild duck, easy mark
鴻|large bird, wild goose
鵜|cormorant
鵬|phoenix
鷄|
鷗|
鷲|eagle
鷹|hawk
鷺|heron
麒|
麟|
麿|I, you, (kokuji)
黃|
黎|dark, black, many
黑|
默|
黛|blackened eyebrows
鼎|three legged kettle
齊|alike, equal, similar, Saito
龍|dragon, imperial
欄|
廊|
朗|
虜|
類|
猪|
神|
祥|
福|
諸|
渚|
琢|
祐|
禎|
悔|
侮|
僧|
勉|
勤|
卑|
嘆|
器|
墨|
層|
憎|
懲|
敏|
暑|
梅|
海|
漢|
煮|
碑|
社|
祉|
祈|
祖|
祝|
禍|
穀|
突|
節|
練|
繁|
署|
者|
臭|
著|
視|
謁|
謹|
賓|
贈|
逸|
都|
難|
響|
煕|shine
渕|edge
盧|hut
趙|nimble, late-going
嶌|island
倶|both
呆|be amazed, disgusted, shocked
粕|scrap, waste
姜|Chinese surname, ginger
崔|cliff, bluff, precipice
聯|party, gang, clique
麹|malt, yeast
炒|broil, parch, roast, fry
屏|wall, fence
苫|rush matting
姑|mother-in-law
僑|temporary home
魏|high, large
荏|bean
銚|sake bottle
薮|thicket, bush, underbrush, grove
鴈|wild goose
翫|
嶽|peak
焉|how, why, then
苅|cutting (grass)
尹|an official rank
狐|fox
鴎|seagull
瀋|juice, broth
狛|archaic part of Korea, lion-dog shrine guards
壷|
橿|oak
煥|
癌|cancer, cancerous evil
嘘|lie, falsehood
旛|
篭|seclude oneself, cage, coop, implied
娼|prostitute
篆|seal-style characters
鮫|
牌|label, signboard, medal, mahjong tiles
蒋|reed
襄|
蛋|barbarian, egg
笘|
宍|muscles, meat
囃|play (music), accompany, beat time, banter, jeer, applaud
簗|
峙|tower, soar
舘|mansion, large building, palace
銕|
鄒|place name
蜷|an edible river snail
箏|a koto
鵠|swan
諌|admonish, dissuade
牝|female
笏|
噺|talk, (kokuji)
抒|
叩|strike, beat, hit, thrash, criticize
蔡|
鍾|spindle, gather, collect
仇|foe, enemy, revenge, grudge, feud
瞑|sleep, dark, close eyes
鍼|needle
礒|rock, beach, shore
咸|all, same
歪|warp, bend, strained, distort
韮|leek
薔|a kind of grass
膠|glue, isinglass
呑|drink
茗|tea
瘤|lump, swelling
澤|swamp
溥|
厦|
冤|false charge, hatred
侠|tomboy, chivalry
贅|luxury
汪|
猷|
曼|
撚|twist, twine, kinky
噛|chew, bite, gnaw
桝|
闊|wide
浙|name of a Chinese river
